"Objektid","Versjonsid","Startdato","Sluttdato","Sist modifisert","Fylkesnavn","Kommunenavn","Fylke","Kommune","Vegkategori","Status","Vegnummer","Hovedparsell","Fra meter","Til meter","Strekningslengde","Alternativ uhellskode","Alvorligste skadegrad","Anmeldelsesnummer","Antall alvorlig skadet","Antall drepte i ulykken","Antall enheter","Antall kjørefelt","Antall lettere skadet","Antall meget alvorlig skadet","Bebyggelse","Behandlende politidistrikt","Beskrivelse","Dekketype","Fartsgrense","Felttype","Føreforhold","Geometri, punkt","Historisk hp","Historisk kilometerverdi","Historisk vegkategori","Historisk vegnummer","Historisk vegstatus","Kilde for ulykken","Kommunenr","Lysforhold","Meldingsdato","Midtdeler","Ok SSB","Oppgitt antall skadde","PunktTilknytning","Registrering status","Registreringsdato for fagdata","Stedfestingens nøyaktighet","Stedsbeskrivelse","Stedsforhold","Temperatur","Uhell kategori","Uhellskode","Ukedag","Ulykke registrert av","Ulykkesdato","Ulykkestidspunkt","Vegbredde","Vegnavn","Vegtype","Værforhold"
"86434028","1","2014-10-26","2019-09-01","2014-11-27 13:26:54","OSLO","OSLO","3","0","E","V","18","2","1560","","0.0","","Lettere skadd","","0","0","2","6","1","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","70","Vanlig kjørefelt","Tørr, bar veg","","2","1600","Europaveg","18","Eksisterende veg","","301","Mørkt med vegbelysning","","","","","","","1997-08-22","","","Tunnel (primært for motorkjøretøy)","20","Bilulykke","Skifte av felt til høyre","Torsdag","","1997-07-31","15:46","21.0","Oslotunnellen","Motorveg","God sikt, opphold"
"86401401","1","2014-10-26","2019-09-01","2014-11-27 13:26:54","OSLO","OSLO","3","0","E","V","18","2","1560","","0.0","","Lettere skadd","","0","0","1","6","1","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","70","Vanlig kjørefelt","Tørr, bar veg","","2","1600","Europaveg","18","Eksisterende veg","","301","Mørkt med vegbelysning","","","","","","","2000-05-22","","","Tunnel (primært for motorkjøretøy)","5","Bilulykke","Enslig kjøretøy veltet i kjørebanen","Onsdag","","2000-04-12","10:10","21.3","Festningetunnelen vestg retn","Motorveg","God sikt, opphold"
"114362126","1","2014-10-26","2019-09-01","2014-11-27 13:26:54","OSLO","OSLO","3","0","E","V","18","2","1573","","0.0","","Lettere skadd","","0","0","1","6","1","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","70","Vanlig kjørefelt","Våt, bar veg","POINT (261906.0 6648683.0)","2","1614","Europaveg","18","Eksisterende veg","","301","Mørkt med vegbelysning","","Ja","","","","","2007-03-08","Nøyaktig","","Tunnel (primært for motorkjøretøy)","","Bilulykke","Enslig kjøretøy kjørte utfor på venstre side i høyrekurve","Søndag","","2006-04-09","13:34","21.3","Festningstunnel vestgående, omtrent ved inng","Vanlig veg/gate","God sikt, nedbør"
"86410162","1","2014-10-26","2019-09-01","2014-11-27 13:26:54","OSLO","OSLO","3","0","E","V","18","2","1587","","0.0","","Lettere skadd","","0","0","2","6","1","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","70","Vanlig kjørefelt","Tørr, bar veg","","2","1630","Europaveg","18","Eksisterende veg","","301","Mørkt med vegbelysning","","","","","","","1998-12-07","","","Tunnel (primært for motorkjøretøy)","7","Bilulykke","Påkjøring bakfra","Fredag","","1998-10-02","19:15","20.6","E18, Festningstunnelen","Vanlig veg/gate","God sikt, opphold"
"86373847","1","2014-10-26","2019-09-01","2014-11-27 13:26:54","OSLO","OSLO","3","0","E","V","18","2","1587","","0.0","","Lettere skadd","","0","0","2","6","1","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","70","Vanlig kjørefelt","Tørr, bar veg","POINT (261858.905273438 6648688.58398438)","2","1630","Europaveg","18","Eksisterende veg","","301","Dagslys","","","","","","","2005-10-27","","","Tunnel (primært for motorkjøretøy)","0","Bilulykke","Kjøring i parallelle kjørefelter forøvrig","Tirsdag","","2005-06-21","09:07","18.0","Festningstunnelen østgående.","Motorveg","God sikt, opphold"
"86408653","1","2014-10-26","2019-09-01","2014-11-27 13:26:54","OSLO","OSLO","3","0","E","V","18","2","1592","","0.0","","Lettere skadd","","0","0","1","6","2","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","70","Vanlig kjørefelt","Våt, bar veg","","2","1635","Europaveg","18","Eksisterende veg","","301","Mørkt med vegbelysning","","","","","","","2001-07-20","","","Tunnel (primært for motorkjøretøy)","","Bilulykke","Enslig kjøretøy kjørte på trafikkøy eller ende av midtdeler","Fredag","","1999-01-01","21:16","21.8","Festningstunnelen v/avkjøring til Skippergt","Motorveg","God sikt, opphold"
"86437632","1","2014-10-26","2019-09-01","2014-11-27 13:26:54","OSLO","OSLO","3","0","E","V","18","2","1605","","0.0","","Alvorlig skadd","","1","0","2","6","0","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","70","Vanlig kjørefelt","Ukjent","","2","1650","Europaveg","18","Eksisterende veg","","301","Mørkt med vegbelysning","","","","","","","1997-02-11","","","Tunnel (primært for motorkjøretøy)","","Bilulykke","Påkjøring bakfra","Torsdag","","1996-03-14","08:30","20.8","Oslotunellen østg. løp. Ved avkj. til Danskebåten.","Vanlig veg/gate","Ukjent"
"86437637","1","2014-10-26","2019-09-01","2014-11-27 13:26:54","OSLO","OSLO","3","0","E","V","18","2","1605","","0.0","","Lettere skadd","","0","0","2","6","3","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","70","Svingefelt venstre / høyre","Tørr, bar veg","","2","1650","Europaveg","18","Eksisterende veg","","301","Mørkt med vegbelysning","","","","","","","1997-02-12","","","Annet kryss","","Bilulykke","Påkjøring bakfra","Mandag","","1996-03-11","20:29","20.8","Oslotunellen østg. avkjøringen til Danskebåten.","Vanlig veg/gate","God sikt, opphold"
"86381619","1","2014-10-26","2019-09-01","2014-11-27 13:26:54","OSLO","OSLO","3","0","E","V","18","2","1623","","0.0","","Lettere skadd","","0","0","1","7","1","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","70","Vanlig kjørefelt","Tørr, bar veg","","2","1670","Europaveg","18","Eksisterende veg","","301","Mørkt med vegbelysning","","","","","","","2004-04-15","","","Tunnel (primært for motorkjøretøy)","5","Bilulykke","Enslig kjøretøy kjørte på trafikkøy eller ende av midtdeler","Onsdag","","2003-11-05","07:56","24.1","E18 Festningstunnelen retn øst v/avkj.til Skipperg","Motorveg","God sikt, opphold"
"86377364","1","2014-10-26","2019-09-01","2014-11-27 13:26:54","OSLO","OSLO","3","0","E","V","18","2","1641","","0.0","","Lettere skadd","","0","0","2","3","3","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","70","Vanlig kjørefelt","Tørr, bar veg","POINT (261807.709289551 6648702.92382813)","2","1690","Europaveg","18","Eksisterende veg","","301","Dagslys","","","","","","","2004-12-14","","","Vegstrekning utenfor kryss/avkjørsel","20","Bilulykke","Skifte av felt til høyre","Mandag","","2004-08-09","11:56","","E18,Festningstunn. r.vest ca.275m inn i tunnelen","Motorveg","God sikt, opphold"
